word,value
cengkeram,-2.0
cengkerama,-2.0
cengung,-3.0
centang,-5.0
cepat,0.0
cepol,-4.0
cerabah,-5.0
cerabih,-4.0
ceracam,-4.0
ceracau,-4.0
cerai,-4.0
cerai-berai,-5.0
cerca,-4.0
cercaan,-4.0
cercah,-1.5
cerewet,-5.0
cerita,-1.0
cerita anak,-1.0
cerita burung,-5.0
cerita khayal,-2.0
cerita rekaan,-4.0
ceriwis,-4.0
cerna,-5.0
ceroboh,-5.0
ceronggah,-4.0
ceruk,-3.0
cerup,-3.0
cetek,-3.0
cetera,-4.0
cetus,-1.0
cetusan,-1.0
cibir,-5.0
cicik,-4.0
cikun,-5.0
cilok,-3.0
cimeng,-3.0
cincong,-5.0
cingangah,-4.0
ciplak,-3.0
cirit,-5.0
cium,0.0
ciuman,-3.0
ciut,-3.0
claim,-3.0
classy,-2.0
close,-2.0
closed,-3.0
cobaan,-5.0
cocor,-3.0
cokol,0.0
colak-caling,-5.0
coleng,-4.0
colok,-0.5
colong,-5.0
comberan,-4.0
comblang,-5.0
comeback,-2.0
comot,-4.0
compeng,-4.0
compes,-4.0
condong,-5.0
congek,-3.0
congkak,-3.0
congkel,-4.0
congor,-3.0
conteng,-3.0
coplok,-3.0
copot,-1.0
coreng moreng,-4.0
corengmoreng,-4.0
cotok,-3.0
crash,-4.0
cry,-3.0
cuai,-4.0
cuak,-4.0
cuat,-0.5
cubit,-3.0
cuca,-3.0
cucok,-1.0
cucuk,-3.0
cucup,-3.0
cucut,-3.0
cuek,-2.0
cuekin,-3.0
cuka belanda,-5.0
cuka jawa,-5.0
cukup,-5.0
cukupan,-3.0
cuma,-3.0
cumbu,-3.0
cumbuan,-3.0
cunam,-3.0
cupet,-5.0
cupul,-5.0
cura,-3.0
curang,-5.0
curat,-1.0
curcol,-3.0
curhat,-0.5
curi,-5.0
curiga,-1.5
curna,-5.0
curu,-3.0
cutel,-4.0
dabih,-3.0
dadah,-4.0
daftar,-1.0
daging tumbuh,-4.0
dah,-3.0
dahh,-3.0
dahiat,-5.0
dahlah,-3.0
dahsyat,-1.5
daif,-3.0
daing,-4.0
dajal,-5.0
dakap,-3.0
daki,-4.0
dalal,-3.0
dalalah,-5.0
dalang,0.0
dalem,-2.0
dalih,-4.0
dalil,-3.0
dam,-3.0
dampak,-3.0
damprat,-4.0
dampratan,-5.0
dangkal,-1.5
dangkap,-3.0
dangkar,-4.0
dangkung,-3.0
danyang,-4.0
dapat,0.0
dapra,-3.0
darah dingin,-4.0
daras,-5.0
darat,-1.0
dari,-3.0
darurat,-1.5
data,-3.0
datang,-4.0
datang hati,-5.0
datuk,-4.0
daya muat,-2.0
daya serap,-2.0
daya tampung,-2.0
daya upaya,-0.5
death,-3.0
debar,-0.5
debil,-5.0
debu,-3.0
dedak,-3.0
dedemit,-4.0
defekasi,-5.0
defisit,-3.0
degil,-5.0
degub,-1.0
dekaden,-5.0
dekadensi,-5.0
dekap,-2.0
dekat,-1.5
dekil,-5.0
deklarasi,-3.0
delay,-3.0
delegasi,-4.0
delete,-3.0
demek,-4.0
demen,0.0
demo,-3.0
demon,-3.0
demonstrasi,-3.0
dempet,-3.0
denai,-4.0
dendam,-5.0
dendeng,-4.0
denger,-3.0
dengki,-5.0
dengkik,-4.0
dengkul,-3.0
dengkur,-3.0
dengu,-3.0
dengung,-3.0
